college_code,college_name,branch_id,branch_name,seat_type,category_code,percentile,is_tfws,is_ews
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110135610,Electrical Engg[Electronics and Power],Home University Seats Allotted to Home University Candidates,GOBCH,87.5598503,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110137210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,GOPENH,90.3886926,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110137210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,GOBCH,88.5679854,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110137210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,LOPENH,91.1268781,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110137210,Electronics and Telecommunication Engg,Home University Seats Allotted to Home University Candidates,PWDOPENH,88.6037289,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110137210,Electronics and Telecommunication Engg,Other Than Home University Seats Allotted to Other Than Home University Candidates,LSCO,73.3652047,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110137210,Electronics and Telecommunication Engg,State Level,EWS,79.1872032,False,True
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110161210,Mechanical Engineering,Home University Seats Allotted to Home University Candidates,GSCH,63.2687832,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110161210,Mechanical Engineering,Home University Seats Allotted to Other Than Home University Candidates,LVJH,22.5020163,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110161210,Mechanical Engineering,Home University Seats Allotted to Other Than Home University Candidates,LSEBCH,46.3657898,False,False
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",0110161210,Mechanical Engineering,Other Than Home University Seats Allotted to Home University Candidates,LSCO,77.1713278,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110519110,Civil Engineering,State Level,GOPENS,70.8722936,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110519110,Civil Engineering,State Level,GOBCS,70.4092512,False,False
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",0110519110,Civil Engineering,State Level,LOPENS,77.8250739,False,False
