Rank,Percentile,Choice Code,Merit Exam
24599,76.3543069,0322324510,JEE(Main)-2024
140393,57.4142590,0322319110,MHT-CET
36654,66.0357656,0322390010,JEE(Main)-2024
38447,64.5326492,0322392610,JEE(Main)-2024
31679,70.4103342,0322324610,JEE(Main)-2024
53545,51.8093230,0322424510,JEE(Main)-2024
88493,8.7798489,0322492010,JEE(Main)-2024
70311,36.2120221,0322491110,JEE(Main)-2024
142979,55.3559436,0325729310,MHT-CET
62252,44.1712256,0325791610,JEE(Main)-2024
52491,52.9675315,0325737210,JEE(Main)-2024
25885,75.2255614,0325724510,JEE(Main)-2024
32482,69.5628064,0325724610,JEE(Main)-2024
83925,18.2751981,0327793410,JEE(Main)-2024
38486,64.4498458,0327724610,JEE(Main)-2024
168488,31.4286926,0327793510,MHT-CET
33671,68.6174754,0327724510,JEE(Main)-2024
175023,23.9858471,0327735610,MHT-CET
185326,8.4810177,0327761510,MHT-CET
178449,19.1157452,0335161210,MHT-CET
63640,42.7279999,0335191210,JEE(Main)-2024
53671,51.7541555,0335191110,JEE(Main)-2024
42910,60.9834559,0335124510,JEE(Main)-2024
56414,49.3223255,0335156810,JEE(Main)-2024
83790,18.4438201,0335392010,JEE(Main)-2024
56780,49.2401216,0335324610,JEE(Main)-2024
66198,40.3058173,0335324510,JEE(Main)-2024
72368,33.8362967,0335392110,JEE(Main)-2024
173954,24.7657909,0335361210,MHT-CET
16682,83.5374616,0342324510,JEE(Main)-2024
26303,74.7919000,0342361210,JEE(Main)-2024
25863,75.2255614,0342390010,JEE(Main)-2024
31776,70.2243620,0342337210,JEE(Main)-2024
24457,76.4471767,0342324610,JEE(Main)-2024
38193,64.7375694,0342319110,JEE(Main)-2024
59405,46.6975840,0343624510,JEE(Main)-2024
67617,39.1527671,0343624610,JEE(Main)-2024
68904,37.8563695,0343691110,JEE(Main)-2024
147441,52.0276576,0343629310,MHT-CET
80424,23.7911679,0343690010,JEE(Main)-2024
34667,67.6618121,0343991210,JEE(Main)-2024
61739,44.5556551,0343992610,JEE(Main)-2024
83280,19.3793840,0343919110,JEE(Main)-2024
36349,66.3654780,0343990010,JEE(Main)-2024
57421,48.5377286,0343961210,JEE(Main)-2024
32722,69.5118917,0343991110,JEE(Main)-2024
28085,73.2786671,0343924510,JEE(Main)-2024
76882,28.5249776,0344024510,JEE(Main)-2024
175709,22.5020163,0344537210,MHT-CET
62260,44.1712256,0344592110,JEE(Main)-2024
